stringa cercata;thread per blocco;ripetizione;dimensione file;throughput
abracadabra;32;1;3000;39321600000,00
abracadabra;32;2;3000;39819341772,15
abracadabra;32;3;3000;39819341772,15
abracadabra;32;4;3000;40329846153,85
abracadabra;32;5;3000;40853610389,61
abracadabra;32;6;3000;40329846153,85
abracadabra;32;7;3000;40329846153,85
abracadabra;32;8;3000;40853610389,61
abracadabra;32;9;3000;40853610389,61
abracadabra;32;10;3000;35345258426,97
abracadabra;32;11;3000;32430185567,01
abracadabra;32;12;3000;32768000000,00
abracadabra;32;13;3000;35746909090,91
abracadabra;32;14;3000;39819341772,15
abracadabra;32;15;3000;40853610389,61
abracadabra;32;16;3000;40853610389,61
abracadabra;32;17;3000;41391157894,74
abracadabra;32;18;3000;41391157894,74
abracadabra;32;19;3000;41943040000,00
abracadabra;32;20;3000;41943040000,00
abracadabra;32;21;3000;40853610389,61
abracadabra;32;22;3000;39321600000,00
abracadabra;32;23;3000;37900337349,40
abracadabra;32;24;3000;36578232558,14
abracadabra;32;25;3000;37449142857,14
abracadabra;32;26;3000;39321600000,00
abracadabra;32;27;3000;39819341772,15
abracadabra;32;28;3000;40853610389,61
abracadabra;32;29;3000;41943040000,00
abracadabra;32;30;3000;41943040000,00
abracadabra;64;1;3000;74898285714,29
abracadabra;64;2;3000;73156465116,28
abracadabra;64;3;3000;73156465116,28
abracadabra;64;4;3000;73156465116,28
abracadabra;64;5;3000;71493818181,82
abracadabra;64;6;3000;68385391304,35
abracadabra;64;7;3000;66930382978,72
abracadabra;64;8;3000;65536000000,00
abracadabra;64;9;3000;64198530612,24
abracadabra;64;10;3000;62914560000,00
abracadabra;64;11;3000;64198530612,24
abracadabra;64;12;3000;64198530612,24
abracadabra;64;13;3000;68385391304,35
abracadabra;64;14;3000;66930382978,72
abracadabra;64;15;3000;66930382978,72
abracadabra;64;16;3000;64198530612,24
abracadabra;64;17;3000;66930382978,72
abracadabra;64;18;3000;69905066666,67
abracadabra;64;19;3000;74898285714,29
abracadabra;64;20;3000;73156465116,28
abracadabra;64;21;3000;73156465116,28
abracadabra;64;22;3000;73156465116,28
abracadabra;64;23;3000;71493818181,82
abracadabra;64;24;3000;71493818181,82
abracadabra;64;25;3000;71493818181,82
abracadabra;64;26;3000;69905066666,67
abracadabra;64;27;3000;68385391304,35
abracadabra;64;28;3000;66930382978,72
abracadabra;64;29;3000;68385391304,35
abracadabra;64;30;3000;69905066666,67
abracadabra;96;1;3000;68385391304,35
abracadabra;96;2;3000;69905066666,67
abracadabra;96;3;3000;69905066666,67
abracadabra;96;4;3000;69905066666,67
abracadabra;96;5;3000;69905066666,67
abracadabra;96;6;3000;68385391304,35
abracadabra;96;7;3000;69905066666,67
abracadabra;96;8;3000;68385391304,35
abracadabra;96;9;3000;71493818181,82
abracadabra;96;10;3000;73156465116,28
abracadabra;96;11;3000;73156465116,28
abracadabra;96;12;3000;74898285714,29
abracadabra;96;13;3000;74898285714,29
abracadabra;96;14;3000;73156465116,28
abracadabra;96;15;3000;73156465116,28
abracadabra;96;16;3000;73156465116,28
abracadabra;96;17;3000;73156465116,28
